Facility Name,Area / Location,Sports Offered,Indoor / Outdoor,Swimming Pool,Gym,Exact Opening Hours,Typical Hourly Rate (PKR)
Blue Wave Swimming Club,Gulistan-e-Johar,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,500 – 2,800"
Blue Wave Swimming Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,300 – 6,500"
Blue Waves Pool,DHA Phase 7,Swimming Pool,Outdoor,Yes,No,6:00 AM – 8:00 PM,"1,800 – 3,000"
BlueBay Swim Academy,Clifton,Swimming Pool,Indoor,Yes,No,7:00 AM – 8:00 PM,"1,300 – 2,200"
Bluefield Turf Ground,Korangi,"Football, Cricket",Outdoor,No,No,6:00 AM – 11:00 PM,"2,500 – 4,300"
BlueOcean Swimming Pool,Gulshan-e-Johar,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,200 – 2,000"
BlueWave Pool,Clifton,Swimming Pool,Indoor,Yes,No,7:00 AM – 8:00 PM,"1,300 – 2,200"
BlueWave Pool,Clifton,Swimming Pool,Indoor,Yes,No,7:00 AM – 8:00 PM,"1,300 – 2,300"
BlueWave Pool,DHA Phase 6,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,700 – 2,700"
BlueWave Swimming Club,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,200 – 6,000"
BlueWave Swimming Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,500 – 2,500"
BodyFuel Gym,Federal B Area,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,000 – 1,700"
BodyLine Gym,Gulshan-e-Iqbal,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,200 – 2,100"
Boundary Kings Ground,Orangi Town,Cricket,Outdoor,No,No,6:00 AM – 7:00 PM,"0 – 1,200"
Boundary Line Nets,Landhi,Cricket Nets,Outdoor,No,No,6:00 AM – 7:00 PM,"1,000 – 1,800"
Boundary Masters Ground,Korangi No.5,Cricket,Outdoor,No,No,6:00 AM – 7:00 PM,"0 – 1,300"
BoxFit Arena,Gulistan-e-Jauhar,"Boxing, Fitness",Indoor,No,Yes,7:00 AM – 10:00 PM,"700 – 1,300"
Cantt Gymkhana,Cantt Area,"Cricket, Tennis, Swimming, Gym",Indoor/Outdoor,Yes,Yes,7:00 AM – 10:00 PM,6000 - 8500
Champion Football Ground,Korangi,Football,Outdoor,No,No,6:00 AM – 9:00 PM,"0 – 1,200"
Champion Padel Courts,DHA Phase 6,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"11,900 – 18,000"
Champion Sports Club,PECHS,"Cricket, Gym, Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,300 – 4,000"
Champion Sports Club,Gulshan-e-Iqbal,"Cricket, Gym, Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"3,100 – 4,900"
Champions Cricket Nets,Gulshan-e-Maymar,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"1,800 – 3,000"
Champions Cricket Nets,Landhi,Cricket Nets,Outdoor,No,No,6:00 AM – 8:00 PM,"1,000 – 1,600"
Champions Indoor Arena,Gulshan-e-Iqbal,"Indoor Cricket, Futsal",Indoor,No,No,5:00 PM – 2:00 AM,"3,000 – 5,500"
Champions Padel Hub,DHA Phase 4,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"6,000 – 8,000"
City Cricket Academy,Landhi,Cricket Training,Outdoor,No,No,6:00 AM – 8:00 PM,1000–2500
City Cricket Nets,Baldia Town,Cricket Nets,Outdoor,No,No,6:00 AM – 8:00 PM,"1,400 – 2,400"
City Hoops Arena,Gulistan-e-Jauhar,Basketball,Indoor,No,No,4:00 PM – 11:00 PM,"2,000 – 3,500"
City Sports Arena,Gulshan-e-Iqbal,"Indoor Cricket, Basketball",Indoor,No,Yes,8:00 AM – 11:00 PM,"2,600 – 4,700"
City Sports Hall,Lyari,"Basketball, Badminton",Indoor,No,No,3:00 PM – 9:00 PM,"0 – 1,200"
City Sports Pavilion,SITE Area,"Badminton, TT",Indoor,No,No,4:00 PM – 9:00 PM,"0 – 1,000"
City Youth Sports Hall,New Karachi,"Badminton, TT",Indoor,No,No,4:00 PM – 9:00 PM,"0 – 1,000"
CityFit Gym,Gulshan-e-Iqbal,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,000 – 1,700"
Civic Multi Sports Ground,New Karachi,"Cricket, Football",Outdoor,No,No,6:00 AM – 8:00 PM,0
Civic Sports Ground,Bufferzone,"Cricket, Football",Outdoor,No,No,6:00 AM – 8:00 PM,0
ClearWater Pools,Gulshan-e-Johar,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,350 – 2,250"
ClearWater Swim Academy,Clifton,Swimming Pool,Indoor,Yes,No,6:30 AM – 9:00 PM,"4,200 – 6,200"
Clifton Beach Sports Area,Clifton,"Outdoor Cricket, Swimming, Beach Volleyball",Outdoor,Yes,No,6:00 AM – 6:00 PM,1000 - 3000
Clifton Beach Volleyball,Clifton,Beach Volleyball,Outdoor,No,No,Sunrise – Sunset,0
Clifton Cricket Academy,Clifton,"Cricket Training, Gym",Outdoor,No,Yes,9:00 AM – 8:00 PM,4000 - 7000
Clifton Cricket Academy,Clifton,"Cricket Training, Gym",Outdoor,No,Yes,9:00 AM – 8:00 PM,"3,500 – 5,000"
Clifton Elite Swim Club,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"900 – 1,500"
Clifton Football Ground,Clifton,Football,Outdoor,No,No,6:00 AM – 8:00 PM,0
Clifton Gym & Fitness,Clifton,"Gym, Indoor Cricket",Indoor,No,Yes,6:00 AM – 11:00 PM,"4,500 – 7,000"
Clifton Gymnasium,Clifton,"Gym, Indoor Cricket",Indoor,No,Yes,6:00 AM – 10:00 PM,"4,000 – 7,000"
Clifton Open Basketball Court,Clifton,Basketball,Outdoor,No,No,5:00 PM – 10:00 PM,"0 / 1,000"
Clifton Padel Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,6000 - 8000
Clifton Padel Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"2,500 – 4,000"
Clifton Padel Hub,Clifton Block 2,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"7,000 – 11,500"
Clifton Swimming Club,Clifton,"Swimming Pool, Gym",Indoor,Yes,Yes,6:00 AM – 10:00 PM,6000 - 8500
Clifton Swimming Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,2000 - 4500
Clifton Swimming Pool,Clifton,"Swimming Pool, Gym",Indoor,Yes,Yes,6:00 AM – 9:00 PM,"4,500 – 7,000"
Clifton Table Tennis,Clifton,Table Tennis,Indoor,No,No,8:00 AM – 9:00 PM,"1,500 – 2,500"
Clifton Table Tennis,Clifton,Table Tennis,Indoor,No,No,8:00 AM – 8:00 PM,"1,500 – 2,500"
Clifton Tennis Academy,Clifton,Tennis,Outdoor,No,No,7:00 AM – 8:00 PM,"2,500 – 4,500"
Clifton Volleyball,Clifton,Volleyball,Outdoor,No,No,8:00 AM – 8:00 PM,"2,000 – 3,500"
Clifton Volleyball Club,Clifton,Volleyball,Outdoor,No,No,6:00 AM – 8:00 PM,0
Coastal Sports Arena,Clifton,"Indoor Cricket, Gym",Indoor,No,Yes,8:00 AM – 10:00 PM,"5,500 – 7,800"
Community Court Nazimabad,Nazimabad,"Cricket, Basketball",Outdoor,No,No,6:00 AM – 8:00 PM,"0 – 2,300"
Community Sports Complex,Nazimabad,"Cricket, Basketball",Outdoor,No,No,6:00 AM – 8:00 PM,"0 – 2,100"
Community Sports Park,Surjani Town,"Cricket, Football",Outdoor,No,No,6:00 AM – 8:00 PM,0
Community Youth Ground,Baldia Town,"Cricket, Football",Outdoor,No,No,6:00 AM – 7:00 PM,0
Coral Aqua Center,DHA Phase 7,Swimming Pool,Indoor,Yes,No,6:00 AM – 10:00 PM,"2,000 – 3,500"
Coral Bay Swimming Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"3,500 – 5,500"
Coral Reef Swim Academy,Clifton,Swimming Pool,Indoor,Yes,No,6:30 AM – 9:00 PM,"4,100 – 5,900"
Coral Sports Club,Clifton,"Swimming, Gym",Indoor,Yes,Yes,6:00 AM – 10:00 PM,"1,500 – 3,000"
Core Strength Gym,Saddar,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"700 – 1,400"
Core Strength Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"2,400 – 3,700"
Corefit Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"1,900 – 3,100"
Corefit Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"2,100 – 3,300"
CoreFit Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"2,300 – 3,500"
CoreStrength Gym,FB Area,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"700 – 1,300"
CoreX Fitness,Nazimabad No.2,Gym,Indoor,No,Yes,6:00 AM – 11:00 PM,"1,300 – 2,300"
CourtChamp Indoor,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,300 – 5,700"
CourtElite Indoor,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,400 – 5,800"
CourtElite Pro Indoor,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,400 – 5,800"
CourtKing Indoor Arena,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,200 – 5,600"
CourtMaster Indoor,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,000 – 5,200"
CourtMaster Padel Courts,PECHS,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"5,900 – 9,500"
CourtPro Elite Indoor,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,300 – 5,700"
CourtPro Indoor Arena,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,200 – 5,600"
Creekside Padel Courts,DHA Phase 8,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"6,000 – 8,500"
Crescent Sports Complex,Gulshan-e-Iqbal,"Basketball, Gym",Indoor/Outdoor,No,Yes,8:00 AM – 10:00 PM,"4,000 – 6,200"
Cricket Pro Nets,Malir,Cricket Nets,Outdoor,No,No,6:00 AM – 7:00 PM,"1,500 – 2,200"
Cricket Pro Nets,Landhi,Cricket Nets,Outdoor,No,No,6:00 AM – 7:00 PM,"1,700 – 2,300"
CricketCoach Nets,Korangi,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"2,200 – 3,800"
CricketElite Indoor,North Karachi,Indoor Cricket,Indoor,No,No,4:00 PM – 12:00 AM,"2,800 – 4,600"
CricketMaster Nets,Korangi,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"2,300 – 3,900"
CricketMaster Nets,Landhi,Cricket Nets,Outdoor,No,No,6:00 AM – 7:30 PM,"1,600 – 2,400"
CricketPro Nets,DHA Phase 6,Cricket Nets,Indoor,No,No,6:00 PM – 12:00 AM,"2,300 – 3,800"
CricketPro Nets,Korangi,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"2,100 – 3,700"
CricketStar Nets,Korangi,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"2,000 – 3,500"
Cross Court – Legends Padel Edition,Clifton,"Padel, Pickleball",Outdoor,No,No,7:00 AM – 10:00 PM,6000 - 8000
CrossFit Storm,DHA Phase 6,"CrossFit, Gym",Indoor,No,Yes,6:00 AM – 10:00 PM,"1,200 – 2,000"
Crystal Swim Academy,Malir,Swimming Pool,Indoor,Yes,No,7:00 AM – 9:00 PM,"3,800 – 5,400"
Crystal Swim Center,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"3,800 – 6,000"
Crystal Swim Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,100 – 6,300"
Crystal Waters Swim Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,400 – 6,600"
Defence Basketball Court,DHA Phase 6,Basketball,Outdoor,No,No,5:00 PM – 10:00 PM,"1,800 – 3,200"
Defence Cricket Academy,DHA Phase 6,"Cricket Nets, Gym",Indoor/Outdoor,No,Yes,8:00 AM – 9:00 PM,4000 - 7000
Defence Indoor Sports,DHA Phase 5,"Indoor Cricket, Gym",Indoor,No,Yes,8:00 AM – 11:00 PM,"6,500 – 8,800"
DHA Creek Sports,DHA Phase 8,"Cricket Nets, Fitness",Outdoor,No,Yes,6:00 AM – 11:00 PM,"3,500 – 6,000"
Dolphin Swimming Pool,Nazimabad,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,300 – 2,200"
Dolphins Swimming Club,DHA Phase 2,Swimming,Indoor,Yes,No,6:00 AM – 9:00 PM,"600 – 1,200"
Dribble Court,DHA Phase 6,Basketball,Outdoor,No,No,5:00 PM – 11:00 PM,"1,500 – 2,800"
Drive Cricket Nets,DHA Phase 1,Cricket Nets,Indoor,No,No,6:00 PM – 12:00 AM,"2,000 – 3,500"
DunkBasket Basketball,Korangi,Basketball,Outdoor,No,No,5:00 PM – 10:00 PM,"1,700 – 3,000"
Dynamo Football Ground,Korangi,Football,Outdoor,No,No,6:00 AM – 9:00 PM,"0 – 1,300"
Dynasty Sports Club,PECHS,"Cricket, Gym",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"1,800 – 3,200"
Eastside Football Ground,Landhi,Football,Outdoor,No,No,6:00 AM – 8:00 PM,"0 – 1,600"
Edge Cricket Arena,DHA Phase 2,Indoor Cricket,Indoor,No,No,5:00 PM – 1:00 AM,"3,500 – 6,000"
Elite Badminton Academy,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,800 – 3,000"
Elite Cricket Nets,SITE Area,Cricket Nets,Outdoor,No,No,6:00 AM – 12:00 AM,2500–5000
Elite Cricket Nets,PECHS,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"2,300 – 3,900"
Elite Dunk Zone,DHA Phase 8,Basketball,Indoor,No,No,5:00 PM – 12:30 AM,"3,800 – 6,200"
Elite Gym,North Nazimabad,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,800 – 3,100"
Elite Gym Nazimabad,North Nazimabad,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"2,700 – 4,000"
Elite Hoops Arena,DHA Phase 6,Basketball,Indoor,No,No,5:00 PM – 12:00 AM,"3,500 – 5,500"
Elite Padel Club,DHA Phase 8,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"6,000 – 9,500"
Elite Padel Club,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"9,500 – 14,500"
Elite Padel Courts,DHA Phase 4,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"8,500 – 14,000"
Elite Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"8,500 – 13,000"
Elite Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"9,000 – 14,000"
Elite Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"9,800 – 15,000"
Elite Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"11,200 – 17,200"
Elite Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"11,800 – 17,800"
Elite Padel Courts DHA,DHA Phase 6,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"12,000 – 18,000"
Elite Padel Hub,DHA Phase 4,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"7,200 – 12,000"
Elite Racquets Club,Clifton,"Badminton, Squash",Indoor,No,No,7:00 AM – 11:00 PM,"1,200 – 2,500"
Elite Sports Arena,Korangi,"Indoor Cricket, Gym",Indoor,No,Yes,4:00 PM – 12:00 AM,"3,400 – 5,700"
Elite Sports Arena,Clifton,"Indoor Cricket, Basketball",Indoor,No,Yes,8:00 AM – 10:00 PM,"6,000 – 8,500"
Elite Sports Club,Gulshan-e-Iqbal,"Cricket, Gym, Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,600 – 4,400"
Elite Sports Club,Gulshan-e-Iqbal,"Cricket, Gym, Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"3,000 – 4,800"
Elite Table Tennis Arena,Gulshan-e-Iqbal,Table Tennis,Indoor,No,No,4:00 PM – 9:00 PM,"700 – 1,300"
EliteBasketball Courts,Korangi,Basketball,Outdoor,No,No,5:00 PM – 10:00 PM,"1,700 – 3,000"
EliteCourt Indoor,Saddar,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,500 – 5,900"
EliteFootball Turf,Landhi,Football,Outdoor,No,No,6:00 AM – 11:00 PM,"3,000 – 5,000"
ElitePlay Arena,DHA Phase 8,"Football, Cricket",Outdoor,No,No,6:00 AM – 1:00 AM,"3,600 – 6,500"
EliteTurf,DHA Phase 8,"Football, Cricket",Outdoor,No,No,6:00 AM – 1:00 AM,"3,300 – 6,000"
Energy Gym,PECHS,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,200 – 2,100"
Falcon Cricket Arena,DHA Phase 2,Indoor Cricket,Indoor,No,Yes,5:00 PM – 12:00 AM,"3,500 – 5,800"
Falcon Cricket Nets,Korangi,Cricket Nets,Outdoor,No,No,6:00 AM – 8:00 PM,"900 – 1,400"
Falcon Cricket Nets,Landhi,Cricket Nets,Outdoor,No,No,6:00 AM – 8:00 PM,"1,000 – 1,700"
Falcon Football Ground,Korangi,Football,Outdoor,No,No,6:00 AM – 9:00 PM,"0 – 1,400"
Falcon Football Ground,Korangi,Football,Outdoor,No,No,6:00 AM – 9:00 PM,"0 – 1,800"
